#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         268     1.17123     1.14176  0.00124474
         269     1.12573      1.1417  0.00124154
         270     1.13348     1.14167  0.00123731
         271     1.13564     1.14165  0.00123295
         272     1.13314     1.14162  0.00122881
         273     1.14797     1.14164  0.00122453
         274     1.16728     1.14174  0.00122363
         275     1.13817     1.14172  0.00121925
         276     1.14157     1.14172  0.00121483
         277     1.11505     1.14163  0.00121426
         278     1.15818     1.14169  0.00121135
         279     1.17521     1.14181  0.00121295
         280     1.14799     1.14183  0.00120882
         281     1.16298      1.1419  0.00120686
         282     1.12984     1.14186  0.00120334
         283      1.1679     1.14195   0.0012026
         284     1.13975     1.14195  0.00119839
         285     1.15266     1.14198  0.00119477
         286     1.14128     1.14198   0.0011906
         287     1.13796     1.14197  0.00118653
         288     1.16425     1.14204  0.00118493
         289     1.13867     1.14203  0.00118089
         290     1.12302     1.14197  0.00117864
         291     1.18993     1.14213  0.00118605
         292     1.12823     1.14208  0.00118295
         293     1.13883     1.14207  0.00117896
         294     1.15484     1.14212  0.00117575
         295     1.16994     1.14221  0.00117554
         296     1.15555     1.14226  0.00117243
         297     1.15307     1.14229  0.00116905
         298      1.1298     1.14225  0.00116588
         299     1.14744     1.14227  0.00116211
         300     1.11802     1.14219  0.00116104
         301     1.16232     1.14225  0.00115911
         302     1.11844     1.14218  0.00115795
         303     1.14377     1.14218  0.00115414
         304     1.12591     1.14213  0.00115159
         305     1.18871     1.14228  0.00115789
         306     1.14356     1.14228  0.00115412
         307     1.11972     1.14221   0.0011527
         308     1.13148     1.14218  0.00114948
         309      1.0925     1.14201  0.00115695
         310     1.14194     1.14201  0.00115321
         311     1.11797     1.14194  0.00115209
         312     1.15019     1.14196  0.00114871
         313     1.16421     1.14203  0.00114723
         314     1.16189      1.1421  0.00114532
         315     1.12958     1.14206  0.00114237
         316     1.15338     1.14209  0.00113932
         317     1.12691     1.14205  0.00113673
         318     1.17254     1.14214   0.0011372
         319     1.14948     1.14216  0.00113386
         320     1.11492     1.14208  0.00113351
         321     1.13566     1.14206  0.00113016
