TEMP:             MU:          SIGMA: 
0.936494        0.180021        0.699908
0.934621        0.601934        0.943214
0.932752        0.500742        0.307649
0.930887          1.1575        0.744888
0.929025         1.20685        0.869505
0.927167        0.850152        0.455356
0.925312        0.639501        0.448001
0.923462         1.19279        0.436668
0.921615      0.00746149        0.812285
0.919772        0.259122         1.04956
0.917932       0.0327491        0.900857
0.916096        0.351076         1.48639
0.914264        0.125446         1.53778
0.912436        0.259886           1.199
0.910611        0.634782        0.946664
0.908789        0.295258         1.39972
0.906972        0.623322        0.871837
0.905158        0.336585        0.932603
0.903348        0.394325        0.989036
0.901541        0.551628         0.69012
0.899738       0.0358089         1.03586
0.897938         1.22969        0.498104
0.896142        0.210667         1.02849
0.89435        0.766194        0.820691
0.892561        0.741189        0.385849
0.890776       0.0566767         0.65672
0.888995        0.942012        0.724619
0.887217        0.147903        0.371393
0.885442        0.050158        0.378869
0.883671          0.1843        0.534202
0.881904        0.828166        0.454724
0.88014         0.71479        0.555519
0.87838         1.02216        0.660754
0.876623       0.0804249        0.589179
0.87487         1.00804        0.681933
0.87312        0.679354        0.439796
0.871374         0.79612        0.375458
0.869631        0.573765        0.616708
0.867892        0.785359        0.930848
0.866156        0.965246        0.523426
0.864424        0.354312        0.483947
0.862695        0.946127         0.54774
0.86097         1.06805        0.267593
0.859248         1.00385        0.402552
0.857529         1.43138        0.519636
0.855814         1.06024        0.514443
0.854103        0.918719        0.859943
0.852394        0.654968        0.627398
0.85069         1.08925        0.698181
0.848988        0.825449         0.47521
0.84729        0.104395         0.77885
0.845596        0.832775        0.427758
0.843904        0.771466        0.295751
0.842217        0.412264         1.08497
0.840532        0.202257         1.21901
0.838851        0.552902        0.607953
0.837173          1.3777        0.401923
0.835499        0.584486        0.899487
0.833828         1.09006        0.271302
0.83216         1.10379        0.602381
0.830496        0.932446        0.930384
0.828835        0.687089        0.643657
0.827177         1.16293        0.416437
0.825523        0.959129        0.656832
0.823872        0.491884        0.698665
0.822224        0.819112        0.939606
0.82058        0.341351        0.892714
0.818939        0.494409          0.6382
0.817301        0.100524         0.67942
0.815666        0.592801        0.768191
0.814035         1.11448        0.651484
0.812407         1.01417        0.441969
0.810782        0.610488         0.59528
0.80916        0.977276        0.512958
0.807542        0.481433         0.35205
0.805927        0.375925        0.827843
0.804315        0.259152        0.887376
0.802707        0.585207         1.12656
0.801101        0.141834         1.29737
0.799499        0.174531        0.880129
0.7979        0.546613         1.04738
0.796304         1.10188        0.674677
0.794712        0.115247        0.947221
0.793122         0.78895        0.514046
0.791536         1.12878        0.466123
0.789953          1.2433        0.543549
0.788373        0.956871        0.454876
