TEMP:             MU:          SIGMA: 
1.82404         1.20252        0.548475
1.82404        0.752996         0.88001
1.82404         1.16369        0.583286
1.82404         1.91861        0.672438
1.82404         0.47562        0.218277
1.82404        0.715855        0.551188
1.82404        0.627677        0.963857
1.82404        0.556951        0.955179
1.82039         1.02378         1.35787
1.82039         1.10764         1.07414
1.82039         1.43123          1.4633
1.82039          2.0165         1.30412
1.82039         1.46748         1.35626
1.82039         1.02427        0.680537
1.82039        0.329146        0.870928
1.82039        0.272837         1.15302
1.82039       0.0406601         1.55328
1.82039        0.888759         1.82146
1.81675        0.092137         1.79144
1.81675        0.935481         1.94141
1.81675        0.708543         1.55696
1.81675        0.242463         1.97322
1.81675        0.053199         1.82662
1.81675         0.71939         1.69467
1.81675        0.779298         1.11387
1.81675         1.67073        0.728073
1.81675        0.740911         1.36996
1.81675         1.23505         1.18409
1.81312         1.03525         1.34172
1.81312         1.04617         1.70038
1.81312        0.674661        0.990789
1.81312         1.28869        0.583164
1.81312         2.16795        0.192559
1.81312        0.618327        0.815426
1.81312         1.20444         1.18878
1.81312         1.03128         1.38536
1.81312        0.681751         1.60986
1.81312        0.842755         1.66135
1.80949         0.47447         1.64522
1.80949         0.39481         1.58674
1.80949        0.179333         2.02764
1.80949      0.00395528         1.54527
1.80949        0.186186         1.49881
1.80949        0.875149         1.33381
1.80949        0.241262         1.07067
1.80949         1.11614        0.645541
1.80949        0.256832        0.224942
1.80949        0.472906        0.170664
1.80587       0.0303944       0.0733702
1.80587        0.249925        0.297449
1.80587        0.300618        0.137495
1.80587        0.312837        0.112944
1.80587         0.33521       0.0173448
1.80587        0.652692        0.642697
1.80587        0.118859        0.806359
1.80587        0.542829        0.661518
1.80587       0.0355008        0.796333
1.80587        0.532921        0.674551
1.80226        0.717227        0.465356
1.80226         1.10331        0.215208
1.80226        0.243138        0.462284
1.80226        0.360008        0.661309
1.80226        0.579184        0.255449
1.80226        0.651173       0.0701838
1.80226          1.2565       0.0889807
1.80226       0.0616423        0.351324
1.80226        0.645134        0.211629
