#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         276     1.19944     1.20894   0.0016825
         277     1.16326     1.20877  0.00168448
         278     1.15427     1.20858  0.00168979
         279     1.17171     1.20845  0.00168889
         280     1.19861     1.20841  0.00168323
         281     1.17205     1.20828   0.0016822
         282     1.17795     1.20817  0.00167967
         283     1.19721     1.20813  0.00167418
         284     1.21025     1.20814  0.00166831
         285     1.22222     1.20819  0.00166318
         286     1.18603     1.20811  0.00165917
         287     1.19845     1.20808  0.00165373
         288     1.23576     1.20818  0.00165078
         289     1.22906     1.20825  0.00164665
         290     1.19994     1.20822  0.00164122
         291     1.20722     1.20822  0.00163559
         292     1.18808     1.20815  0.00163144
         293     1.20856     1.20815  0.00162587
         294     1.19558     1.20811   0.0016209
         295     1.20704      1.2081  0.00161541
         296     1.22802     1.20817  0.00161136
         297     1.22133     1.20821  0.00160654
         298     1.22566     1.20827  0.00160221
         299     1.22211     1.20832  0.00159752
         300     1.24603     1.20844  0.00159714
         301     1.26154     1.20862  0.00160154
         302     1.28679     1.20888  0.00161702
         303     1.27143     1.20909  0.00162481
         304     1.24988     1.20922  0.00162499
         305     1.24444     1.20934  0.00162376
         306     1.24736     1.20946   0.0016232
         307     1.22321     1.20951  0.00161854
         308     1.23676     1.20959   0.0016157
         309     1.26816     1.20978  0.00162155
         310     1.25598     1.20993  0.00162315
         311     1.24143     1.21003  0.00162109
         312      1.2471     1.21015  0.00162024
         313     1.26889     1.21034   0.0016259
         314     1.25988      1.2105  0.00162835
         315     1.25367     1.21063  0.00162894
         316     1.22157     1.21067  0.00162416
         317     1.20382     1.21065  0.00161918
         318     1.22441     1.21069  0.00161466
         319       1.205     1.21067   0.0016097
         320     1.18162     1.21058  0.00160723
         321     1.20308     1.21056  0.00160239
         322     1.21763     1.21058  0.00159756
         323      1.1891     1.21051    0.001594
         324     1.18119     1.21042  0.00159165
         325     1.18906     1.21036  0.00158811
         326     1.19289      1.2103  0.00158414
         327     1.18504     1.21023  0.00158118
         328     1.19753     1.21019  0.00157683
         329     1.17441     1.21008  0.00157579
         330     1.18046     1.20999  0.00157356
         331     1.24788      1.2101  0.00157297
         332     1.20119     1.21008  0.00156846
         333     1.19798     1.21004  0.00156417
         334     1.18846     1.20998  0.00156082
         335     1.19013     1.20992  0.00155729
         336     1.21138     1.20992  0.00155266
         337     1.20825     1.20992  0.00154806
         338     1.21338     1.20993  0.00154351
         339     1.21028     1.20993  0.00153896
         340     1.24916     1.21004  0.00153875
         341     1.21176     1.21005  0.00153425
         342     1.22515     1.21009   0.0015304
         343     1.22258     1.21013  0.00152637
         344     1.23053     1.21019  0.00152308
         345     1.23688     1.21027  0.00152063
         346     1.23893     1.21035  0.00151849
         347     1.23164     1.21041  0.00151535
         348     1.22438     1.21045  0.00151153
         349     1.23106     1.21051  0.00150835
         350     1.25594     1.21064  0.00150962
         351     1.23216      1.2107  0.00150656
         352     1.20568     1.21069  0.00150235
         353     1.19484     1.21064  0.00149876
         354     1.17214     1.21053  0.00149847
         355     1.18059     1.21045  0.00149662
         356     1.19734     1.21041  0.00149287
         357     1.22376     1.21045  0.00148916
         358     1.22034     1.21048  0.00148525
         359     1.27102     1.21065  0.00149066
         360      1.2671      1.2108  0.00149474
         361     1.23987     1.21088  0.00149277
         362     1.24891     1.21099  0.00149234
         363     1.25358      1.2111  0.00149283
         364     1.23731     1.21118  0.00149047
         365     1.22036      1.2112   0.0014866
         366     1.21608     1.21122  0.00148259
         367     1.21514     1.21123  0.00147859
         368     1.20145      1.2112  0.00147481
         369     1.19062     1.21114  0.00147187
         370     1.18207     1.21107  0.00146999
         371     1.17893     1.21098  0.00146858
         372     1.18298      1.2109  0.00146656
         373     1.16442     1.21078  0.00146791
         374     1.20508     1.21076  0.00146406
         375     1.21539     1.21078  0.00146021
         376     1.19274     1.21073  0.00145711
         377     1.18276     1.21065  0.00145514
         378     1.17869     1.21057  0.00145374
         379     1.17835     1.21048  0.00145239
         380     1.22884     1.21053  0.00144937
         381     1.21126     1.21053  0.00144557
         382     1.22493     1.21057  0.00144228
         383     1.20422     1.21056  0.00143861
         384     1.20748     1.21055  0.00143488
         385     1.17564     1.21046  0.00143402
         386      1.1753     1.21037  0.00143319
         387     1.19696     1.21033  0.00142991
         388      1.2057     1.21032  0.00142627
         389     1.20741     1.21031  0.00142262
         390     1.27499     1.21048  0.00142861
         391     1.26206     1.21061  0.00143104
         392     1.27366     1.21077   0.0014364
         393     1.23081     1.21082  0.00143365
         394     1.23822     1.21089  0.00143169
         395     1.23146     1.21094  0.00142902
         396     1.22656     1.21098  0.00142595
         397      1.2296     1.21103  0.00142313
         398     1.21784     1.21105  0.00141966
         399     1.20844     1.21104  0.00141612
         400     1.21799     1.21106  0.00141268
         401      1.1947     1.21102  0.00140975
         402     1.23188     1.21107   0.0014072
         403     1.23751     1.21113  0.00140523
         404      1.2393      1.2112  0.00140348
         405     1.28086     1.21138  0.00141052
         406      1.2466     1.21146  0.00140971
         407     1.23133     1.21151  0.00140709
         408     1.21603     1.21152  0.00140369
         409     1.20187      1.2115  0.00140045
         410     1.23608     1.21156  0.00139832
         411     1.20706     1.21155  0.00139496
         412     1.23498      1.2116  0.00139273
         413     1.21323     1.21161  0.00138937
         414     1.22506     1.21164  0.00138639
         415     1.22405     1.21167  0.00138337
         416     1.21392     1.21168  0.00138006
         417     1.20014     1.21165  0.00137702
         418     1.21783     1.21166  0.00137381
         419     1.23653     1.21172  0.00137181
         420     1.21478     1.21173  0.00136856
         421     1.18877     1.21168   0.0013664
         422     1.21984     1.21169   0.0013633
         423     1.23313     1.21175  0.00136102
         424     1.20884     1.21174  0.00135783
         425     1.22213     1.21176  0.00135485
         426     1.21297     1.21177  0.00135167
         427     1.21323     1.21177  0.00134851
         428     1.21394     1.21177  0.00134537
         429     1.18448     1.21171  0.00134374
         430     1.19346     1.21167  0.00134128
         431     1.17008     1.21157  0.00134164
         432     1.16275     1.21146  0.00134328
         433     1.18403      1.2114  0.00134167
         434     1.20305     1.21138  0.00133872
         435     1.19178     1.21133   0.0013364
         436     1.20522     1.21132  0.00133341
         437     1.20743     1.21131  0.00133039
         438     1.22592     1.21134  0.00132777
         439     1.20967     1.21134  0.00132475
         440     1.23107     1.21138   0.0013225
         441     1.20659     1.21137  0.00131954
         442     1.24735     1.21145  0.00131907
         443     1.22461     1.21148  0.00131642
         444     1.22143     1.21151  0.00131365
         445     1.24752     1.21159  0.00131319
         446     1.22204     1.21161  0.00131045
         447     1.23923     1.21167  0.00130898
         448     1.23292     1.21172  0.00130691
         449      1.1831     1.21166  0.00130556
         450      1.2263     1.21169  0.00130306
         451     1.22741     1.21172  0.00130064
         452     1.24778      1.2118   0.0013002
         453     1.20703     1.21179  0.00129738
         454     1.19062     1.21175  0.00129536
         455      1.2198     1.21176  0.00129263
         456     1.26644     1.21188  0.00129534
         457     1.27411     1.21202  0.00129965
         458     1.25599     1.21211  0.00130035
         459     1.23495     1.21216  0.00129847
         460     1.21744     1.21218   0.0012957
         461     1.23558     1.21223  0.00129388
         462      1.2552     1.21232  0.00129442
         463     1.26061     1.21242  0.00129582
         464     1.18728     1.21237  0.00129416
         465     1.21296     1.21237  0.00129138
         466     1.26376     1.21248  0.00129331
         467     1.21709     1.21249  0.00129057
         468     1.19443     1.21245  0.00128839
         469     1.21427     1.21246  0.00128565
         470     1.20833     1.21245  0.00128295
         471     1.20041     1.21242  0.00128048
         472     1.17284     1.21234  0.00128051
         473     1.19111     1.21229  0.00127859
         474     1.20745     1.21228  0.00127593
         475     1.20287     1.21226   0.0012734
         476      1.1662     1.21217  0.00127439
         477     1.21474     1.21217  0.00127173
         478     1.17887      1.2121  0.00127098
         479     1.17557     1.21203  0.00127061
         480     1.18131     1.21196  0.00126958
         481     1.17744     1.21189  0.00126897
         482     1.17607     1.21182  0.00126851
         483     1.18674     1.21176  0.00126694
         484     1.18371     1.21171  0.00126565
         485     1.20503     1.21169  0.00126312
         486     1.19623     1.21166  0.00126092
         487     1.19444     1.21163  0.00125882
         488     1.24045     1.21168  0.00125763
         489     1.23446     1.21173  0.00125592
         490     1.23395     1.21178  0.00125418
         491      1.2751     1.21191  0.00125823
         492     1.24665     1.21198  0.00125766
         493     1.25329     1.21206   0.0012579
         494      1.2312      1.2121  0.00125595
         495     1.22991     1.21213  0.00125392
         496     1.21042     1.21213   0.0012514
         497     1.25707     1.21222  0.00125215
         498     1.24953      1.2123  0.00125187
         499     1.22937     1.21233  0.00124983
         500     1.20261     1.21231  0.00124748
         501     1.19737     1.21228  0.00124535
         502     1.20453     1.21227  0.00124296
         503     1.21154     1.21226  0.00124049
         504     1.20553     1.21225   0.0012381
         505     1.19073     1.21221  0.00123638
         506     1.21445     1.21221  0.00123395
         507     1.19375     1.21218  0.00123205
         508      1.1778     1.21211  0.00123148
         509     1.18166     1.21205  0.00123052
         510     1.17143     1.21197  0.00123068
         511     1.18338     1.21191  0.00122954
         512     1.16937     1.21183  0.00122994
         513     1.14054     1.21169  0.00123537
         514      1.1689     1.21161  0.00123577
         515     1.15619      1.2115  0.00123805
         516     1.16389     1.21141  0.00123908
         517     1.13602     1.21126  0.00124524
         518     1.15398     1.21115  0.00124773
         519     1.16861     1.21107  0.00124802
         520     1.20034     1.21105  0.00124579
         521      1.2007     1.21103  0.00124356
         522     1.21094     1.21103  0.00124117
         523     1.20718     1.21102  0.00123882
         524     1.18163     1.21097  0.00123773
         525     1.18287     1.21091  0.00123653
         526     1.18705     1.21087  0.00123501
         527      1.1745      1.2108  0.00123459
         528     1.18702     1.21075  0.00123307
         529     1.21254     1.21076  0.00123075
         530     1.20369     1.21074   0.0012285
         531      1.1835     1.21069  0.00122725
         532     1.19687     1.21067  0.00122522
         533      1.1866     1.21062  0.00122375
         534     1.17178     1.21055  0.00122362
         535     1.19525     1.21052  0.00122167
         536     1.18219     1.21047  0.00122053
         537     1.16293     1.21038  0.00122147
         538     1.17179     1.21031   0.0012213
         539     1.19792     1.21028  0.00121925
         540     1.20252     1.21027  0.00121708
         541     1.18941     1.21023  0.00121544
         542     1.15562     1.21013  0.00121736
         543     1.16516     1.21005  0.00121794
         544     1.17819     1.20999   0.0012171
         545     1.18657     1.20995  0.00121563
         546     1.20881     1.20994   0.0012134
         547     1.19254     1.20991   0.0012116
         548     1.20677     1.20991   0.0012094
         549     1.18408     1.20986  0.00120812
         550     1.20837     1.20986  0.00120592
         551     1.19434     1.20983  0.00120406
         552     1.17943     1.20977  0.00120314
         553     1.17237      1.2097  0.00120286
         554     1.16773     1.20963  0.00120308
         555     1.16771     1.20955  0.00120328
         556     1.16426     1.20947  0.00120387
         557     1.17818     1.20942  0.00120302
         558     1.18058     1.20936  0.00120197
         559     1.18624     1.20932  0.00120053
         560     1.18041     1.20927   0.0011995
         561     1.20846     1.20927  0.00119736
         562     1.21255     1.20928  0.00119524
         563     1.18505     1.20923   0.0011939
         564     1.22192     1.20925  0.00119199
         565     1.21868     1.20927     0.00119
         566     1.19643     1.20925  0.00118811
         567     1.20617     1.20924  0.00118603
         568     1.17956     1.20919  0.00118509
         569      1.2075     1.20919  0.00118301
         570     1.19341     1.20916  0.00118126
         571     1.21173     1.20917   0.0011792
         572     1.18282     1.20912  0.00117804
         573     1.18688     1.20908  0.00117662
         574     1.20402     1.20907   0.0011746
         575     1.20668     1.20907  0.00117257
         576     1.18485     1.20903  0.00117129
         577     1.20017     1.20901  0.00116936
         578     1.20009     1.20899  0.00116744
         579     1.19006     1.20896  0.00116588
         580     1.21312     1.20897  0.00116389
         581     1.22668       1.209  0.00116229
         582     1.19368     1.20897  0.00116059
         583     1.19717     1.20895  0.00115877
         584     1.20206     1.20894  0.00115685
         585     1.22037     1.20896  0.00115504
         586     1.25928     1.20905  0.00115625
         587     1.20965     1.20905  0.00115428
         588     1.23576     1.20909  0.00115321
         589     1.22199     1.20911  0.00115146
         590     1.25805      1.2092  0.00115249
         591     1.27059      1.2093  0.00115522
         592     1.25406     1.20938  0.00115574
         593     1.25696     1.20946  0.00115657
         594     1.25145     1.20953  0.00115678
         595     1.27102     1.20963  0.00115944
         596     1.28465     1.20976  0.00116431
         597     1.26502     1.20985  0.00116603
         598     1.23599     1.20989   0.0011649
         599     1.21356      1.2099  0.00116297
         600     1.19949     1.20988  0.00116117
