#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         318    0.902965    0.886216 0.000508122
         319    0.881334    0.886201  0.00050676
         320    0.888864    0.886209 0.000505245
         321    0.909177    0.886281 0.000508712
         322    0.887148    0.886284 0.000507139
         323    0.889286    0.886293 0.000505654
         324    0.885567    0.886291 0.000504098
         325    0.890864    0.886305 0.000502744
         326    0.899352    0.886345 0.000502792
         327    0.886803    0.886346 0.000501257
         328    0.894575    0.886371 0.000500356
         329    0.887087    0.886373  0.00049884
         330    0.891241    0.886388 0.000497546
         331    0.871816    0.886344 0.000497987
         332    0.888962    0.886352 0.000496549
         333    0.881097    0.886336 0.000495309
         334    0.904905    0.886392 0.000496936
         335    0.890807    0.886405 0.000495627
         336    0.899517    0.886444 0.000495686
         337    0.888168    0.886449 0.000494242
         338    0.887509    0.886452 0.000492789
         339    0.885321    0.886449 0.000491347
         340    0.889615    0.886458  0.00048999
         341    0.889676    0.886468 0.000488644
         342    0.891294    0.886482 0.000487419
         343    0.877312    0.886455 0.000486731
         344    0.864495    0.886391 0.000489484
         345    0.897686    0.886424 0.000489159
         346    0.904323    0.886476 0.000490473
         347    0.891531     0.88649 0.000489276
         348    0.894567    0.886513  0.00048842
         349    0.896765    0.886543 0.000487903
         350    0.888583    0.886549 0.000486544
         351    0.886466    0.886548 0.000485158
         352    0.891142    0.886561 0.000483955
         353    0.887281    0.886564 0.000482589
         354    0.889864    0.886573 0.000481315
         355     0.87331    0.886535 0.000481407
         356    0.898542    0.886569 0.000481235
         357    0.891068    0.886582 0.000480052
         358    0.889087    0.886589 0.000478762
         359    0.881481    0.886575  0.00047764
         360    0.892631    0.886591 0.000476609
         361    0.894599    0.886614 0.000475805
         362    0.893288    0.886632 0.000474848
         363    0.893869    0.886652 0.000473958
         364    0.888749    0.886658 0.000472691
         365     0.87299     0.88662 0.000472877
         366    0.884211    0.886614  0.00047163
         367    0.866724    0.886559 0.000473449
         368    0.906768    0.886614 0.000475336
         369    0.894488    0.886636 0.000474527
         370    0.891202    0.886648 0.000473405
         371    0.889763    0.886656 0.000472203
         372    0.884188     0.88665 0.000470981
         373    0.872061    0.886611 0.000471339
         374    0.889706    0.886619 0.000470152
         375    0.902578    0.886662  0.00047082
         376    0.883813    0.886654 0.000469629
         377    0.886219    0.886653 0.000468384
         378     0.89243    0.886668 0.000467395
         379    0.895077     0.88669 0.000466688
         380    0.873767    0.886656 0.000466697
         381    0.876727     0.88663 0.000466199
         382     0.88466    0.886625 0.000465007
         383    0.883431    0.886617 0.000463868
         384    0.897304    0.886645 0.000463494
         385    0.889642    0.886652 0.000462356
         386    0.882491    0.886642 0.000461283
         387    0.875273    0.886612 0.000461026
         388      0.9003    0.886647 0.000461185
         389    0.890694    0.886658 0.000460117
         390    0.893077    0.886674 0.000459232
         391    0.895787    0.886698 0.000458648
         392    0.870729    0.886657 0.000459284
         393    0.888156    0.886661 0.000458131
         394    0.889627    0.886668  0.00045703
         395     0.89028    0.886677 0.000455964
         396    0.874641    0.886647 0.000455825
         397    0.874106    0.886615  0.00045577
         398     0.88874    0.886621 0.000454656
         399    0.872845    0.886586 0.000454826
         400    0.891249    0.886598 0.000453838
         401    0.889274    0.886605 0.000452755
         402    0.879774    0.886588 0.000451948
         403    0.908328    0.886642 0.000454034
         404    0.888996    0.886647 0.000452948
         405    0.901976    0.886685 0.000453408
         406    0.888219    0.886689 0.000452307
         407    0.887223     0.88669 0.000451198
         408    0.896045    0.886713 0.000450674
         409     0.90093    0.886748 0.000450911
         410    0.856321    0.886674 0.000455877
         411    0.897247    0.886699 0.000455493
         412    0.877266    0.886677 0.000454962
         413    0.870006    0.886636 0.000455648
         414     0.88605    0.886635  0.00045455
         415    0.885401    0.886632 0.000453464
         416    0.881193    0.886619 0.000452562
         417    0.881829    0.886607 0.000451623
         418    0.879167    0.886589 0.000450893
         419    0.898222    0.886617 0.000450671
         420    0.893638    0.886634 0.000449908
         421    0.896335    0.886657 0.000449429
         422    0.879974    0.886641 0.000448643
         423    0.880845    0.886627 0.000447791
         424    0.876909    0.886605 0.000447321
         425    0.888655    0.886609 0.000446295
         426    0.893586    0.886626 0.000445547
         427    0.874663    0.886598 0.000445384
         428    0.879454    0.886581 0.000444656
         429    0.886529    0.886581 0.000443619
         430    0.897959    0.886607 0.000443376
         431    0.891749    0.886619 0.000442508
         432    0.903218    0.886658 0.000443149
         433    0.876048    0.886633 0.000442802
         434    0.898322     0.88666   0.0004426
         435    0.898408    0.886687 0.000442406
         436    0.878413    0.886668 0.000441798
         437    0.893987    0.886685 0.000441104
         438    0.897956    0.886711 0.000440847
         439    0.903566    0.886749 0.000441512
         440    0.897173    0.886773 0.000441144
         441    0.892201    0.886785 0.000440315
         442    0.880599    0.886771 0.000439541
         443    0.877347     0.88675 0.000439063
         444    0.880627    0.886736 0.000438291
         445    0.902007     0.88677 0.000438647
         446    0.886902    0.886771 0.000437664
         447    0.883068    0.886762 0.000436763
         448    0.881324     0.88675 0.000435957
         449    0.887403    0.886752 0.000434989
         450    0.892471    0.886764 0.000434208
         451      0.8954    0.886783 0.000433667
         452    0.890886    0.886793 0.000432802
         453    0.894349    0.886809 0.000432168
         454    0.879598    0.886793 0.000431508
         455    0.889348    0.886799 0.000430596
         456    0.890654    0.886807 0.000429735
         457    0.882434    0.886798 0.000428901
         458    0.887444    0.886799 0.000427967
         459    0.882274    0.886789 0.000427148
         460    0.881437    0.886778 0.000426378
         461     0.88341     0.88677 0.000425516
         462    0.907616    0.886816  0.00042698
         463    0.899117    0.886842 0.000426884
         464    0.882717    0.886833 0.000426056
         465    0.888706    0.886837 0.000425159
