#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         254   -0.973765   -0.974154 2.29353e-05
         255   -0.974199   -0.974155 2.28461e-05
         256    -0.97452   -0.974156 2.28014e-05
         257   -0.973756   -0.974154 2.27658e-05
         258   -0.974554   -0.974156 2.27301e-05
         259   -0.974015   -0.974155 2.26489e-05
         260   -0.973912   -0.974155 2.25811e-05
         261    -0.97383   -0.974153 2.25289e-05
         262    -0.97476   -0.974156 2.25615e-05
         263   -0.973634   -0.974154 2.25627e-05
         264    -0.97449   -0.974155 2.25131e-05
         265   -0.974059   -0.974155 2.24311e-05
         266   -0.973816   -0.974153 2.23827e-05
         267   -0.974036   -0.974153 2.23032e-05
         268   -0.974004   -0.974152 2.22269e-05
         269   -0.973917   -0.974151 2.21614e-05
         270   -0.973982   -0.974151 2.20882e-05
         271   -0.974233   -0.974151 2.20088e-05
         272   -0.974268   -0.974152 2.19321e-05
         273   -0.974615   -0.974153 2.19174e-05
         274   -0.974309   -0.974154 2.18447e-05
         275    -0.97425   -0.974154 2.17681e-05
         276   -0.973883   -0.974153 2.17115e-05
         277   -0.973798   -0.974152 2.16709e-05
         278   -0.973961   -0.974151 2.16038e-05
         279   -0.974027   -0.974151  2.1531e-05
         280   -0.974456   -0.974152 2.14816e-05
         281   -0.973788   -0.974151 2.14441e-05
         282   -0.974555   -0.974152 2.14159e-05
         283   -0.974682   -0.974154 2.14221e-05
         284   -0.974043   -0.974153 2.13502e-05
         285   -0.973643   -0.974152 2.13503e-05
         286   -0.974433   -0.974153 2.12984e-05
         287   -0.973944   -0.974152 2.12365e-05
         288   -0.974408   -0.974153 2.11814e-05
         289   -0.973276    -0.97415 2.13241e-05
         290   -0.973965   -0.974149 2.12601e-05
         291   -0.974104   -0.974149 2.11876e-05
         292   -0.974112   -0.974149 2.11154e-05
         293   -0.974244   -0.974149 2.10458e-05
         294   -0.973632   -0.974147 2.10475e-05
         295   -0.974109   -0.974147 2.09765e-05
         296   -0.974023   -0.974147 2.09099e-05
         297   -0.974292   -0.974147 2.08452e-05
         298   -0.973875   -0.974146 2.07953e-05
         299   -0.973566   -0.974144 2.08162e-05
         300    -0.97433   -0.974145  2.0756e-05
         301   -0.974688   -0.974147 2.07652e-05
         302   -0.973783   -0.974146 2.07313e-05
         303   -0.974159   -0.974146  2.0663e-05
         304   -0.973887   -0.974145 2.06125e-05
         305   -0.974515   -0.974146 2.05805e-05
         306   -0.973977   -0.974146 2.05206e-05
         307   -0.973914   -0.974145 2.04677e-05
         308   -0.974292   -0.974145 2.04068e-05
         309   -0.974207   -0.974145 2.03417e-05
         310   -0.973975   -0.974145 2.02835e-05
         311   -0.974508   -0.974146 2.02519e-05
         312   -0.974215   -0.974146 2.01882e-05
         313    -0.97427   -0.974147 2.01276e-05
         314   -0.974213   -0.974147 2.00646e-05
         315   -0.974662   -0.974149 2.00674e-05
         316   -0.974044   -0.974148 2.00066e-05
         317   -0.973707   -0.974147  1.9992e-05
         318   -0.973565   -0.974145 2.00126e-05
         319   -0.974583   -0.974146  1.9997e-05
         320   -0.974601   -0.974148 1.99848e-05
         321   -0.974314   -0.974148 1.99293e-05
         322   -0.973955   -0.974148 1.98765e-05
         323   -0.974778    -0.97415 1.99105e-05
         324   -0.973982   -0.974149 1.98558e-05
         325    -0.97419   -0.974149 1.97952e-05
         326   -0.974394    -0.97415 1.97486e-05
         327   -0.974195    -0.97415 1.96887e-05
         328   -0.973731   -0.974149   1.967e-05
         329   -0.973826   -0.974148 1.96347e-05
         330   -0.973621   -0.974146 1.96401e-05
         331     -0.9744   -0.974147 1.95957e-05
         332   -0.974397   -0.974148 1.95512e-05
         333   -0.974384   -0.974149 1.95053e-05
         334   -0.973987   -0.974148 1.94529e-05
         335   -0.974447   -0.974149 1.94153e-05
         336   -0.973861   -0.974148 1.93764e-05
         337   -0.974245   -0.974148 1.93211e-05
         338   -0.974258   -0.974149 1.92666e-05
         339   -0.974599    -0.97415 1.92554e-05
         340   -0.974612   -0.974151 1.92467e-05
         341    -0.97434   -0.974152 1.91982e-05
         342   -0.973648    -0.97415 1.91984e-05
         343   -0.974814   -0.974152 1.92398e-05
         344   -0.974025   -0.974152 1.91874e-05
         345   -0.974068   -0.974152 1.91334e-05
         346   -0.974357   -0.974152 1.90873e-05
         347   -0.973478    -0.97415 1.91309e-05
         348   -0.974257   -0.974151 1.90783e-05
         349   -0.974164   -0.974151 1.90237e-05
         350   -0.974012    -0.97415 1.89735e-05
         351   -0.973952    -0.97415 1.89279e-05
         352   -0.973736   -0.974149 1.89106e-05
         353   -0.974434   -0.974149 1.88743e-05
         354   -0.974055   -0.974149 1.88228e-05
         355    -0.97332   -0.974147  1.8914e-05
         356   -0.974164   -0.974147  1.8861e-05
         357   -0.973771   -0.974146 1.88374e-05
         358   -0.973375   -0.974144 1.89075e-05
         359   -0.974581   -0.974145 1.88941e-05
         360   -0.973903   -0.974144 1.88536e-05
         361   -0.973864   -0.974143 1.88174e-05
         362   -0.973728   -0.974142 1.88004e-05
         363   -0.974021   -0.974142 1.87515e-05
         364   -0.974592   -0.974143 1.87407e-05
         365   -0.974616   -0.974145 1.87341e-05
         366   -0.974366   -0.974145 1.86927e-05
         367   -0.974172   -0.974145 1.86419e-05
