#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         232     79.7167     79.0345   0.0317526
         233     79.7022     79.0373   0.0317454
         234      78.913     79.0368   0.0316142
         235     79.6278     79.0393   0.0315795
         236     79.6627      79.042    0.031556
         237     79.2007     79.0426     0.03143
         238     79.5106     79.0446   0.0313594
         239     79.6759     79.0472   0.0313392
         240       79.64     79.0497   0.0313058
         241      78.687     79.0482   0.0312121
         242     78.4994     79.0459   0.0311654
         243     78.6612     79.0443   0.0310773
         244     79.0304     79.0443     0.03095
         245     79.6059     79.0466   0.0309084
         246     79.1116     79.0468   0.0307839
         247     78.6324     79.0452    0.030705
         248     78.7878     79.0441   0.0305987
         249     78.8054     79.0432   0.0304908
         250     79.5044      79.045   0.0304246
         251      79.149     79.0454   0.0303062
         252     79.6573     79.0479   0.0302831
         253     78.0749      79.044   0.0304066
         254     78.5771     79.0422   0.0303424
         255     78.7205     79.0409   0.0302496
         256     77.8162     79.0361   0.0305074
         257     79.0597     79.0362   0.0303889
         258      79.123     79.0366   0.0302729
         259     78.0064     79.0326   0.0304162
         260     78.8244     79.0318   0.0303098
         261     78.6472     79.0303   0.0302294
         262     79.1983     79.0309   0.0301208
         263     79.1587     79.0314   0.0300102
         264     79.2876     79.0324   0.0299122
         265     78.3737     79.0299   0.0299025
         266     78.6312     79.0284   0.0298276
         267     79.0837     79.0286   0.0297166
         268     79.3033     79.0297   0.0296234
         269     79.0871     79.0299    0.029514
         270     78.7146     79.0287   0.0294278
         271     78.8845     79.0282    0.029324
         272     79.2007     79.0288   0.0292231
         273     78.5226     79.0269   0.0291748
         274     78.8994     79.0265   0.0290721
         275     78.5656     79.0248   0.0290146
         276     78.6448     79.0234   0.0289421
         277     79.0588     79.0236   0.0288379
         278     79.2225     79.0243   0.0287431
         279      78.807     79.0235   0.0286506
         280     78.7375     79.0225   0.0285665
         281     78.7636     79.0215   0.0284797
         282     78.8182     79.0208   0.0283878
         283     78.9234     79.0205   0.0282896
         284     78.7849     79.0197   0.0282021
         285     79.0011     79.0196   0.0281032
         286     79.7601     79.0222    0.028124
         287     78.5304     79.0205   0.0280782
         288     78.5262     79.0187   0.0280331
         289     78.1766     79.0158   0.0280871
         290      79.098     79.0161   0.0279917
         291     78.5001     79.0143   0.0279516
         292     79.3544     79.0155   0.0278801
         293     78.3169     79.0131   0.0278867
         294     78.9775      79.013   0.0277921
         295     78.2866     79.0105   0.0278068
         296     79.0315     79.0106   0.0277129
         297     78.9814     79.0105   0.0276198
         298      78.079     79.0074   0.0277034
         299      79.243     79.0082    0.027622
         300     78.7724     79.0074   0.0275411
         301     78.8457     79.0069   0.0274548
         302     78.7661     79.0061   0.0273755
         303     79.6455     79.0082   0.0273664
         304     79.2084     79.0088   0.0272843
         305     78.7293     79.0079   0.0272102
         306     78.3575     79.0058   0.0272042
         307     79.3539     79.0069   0.0271392
         308     78.6528     79.0058   0.0270754
         309     78.9126     79.0055   0.0269894
         310     78.9067     79.0051   0.0269043
         311     79.5514     79.0069    0.026875
         312     78.7096     79.0059   0.0268058
         313     79.0587     79.0061   0.0267207
         314     79.2818      79.007     0.02665
         315     78.9702     79.0069   0.0265657
         316     79.6818      79.009   0.0265673
         317     79.1417     79.0094   0.0264868
         318     79.9957     79.0125   0.0265844
         319     78.9558     79.0124   0.0265017
         320     78.7641     79.0116   0.0264302
         321     79.2803     79.0124   0.0263612
         322     79.2624     79.0132   0.0262907
         323     78.7457     79.0124   0.0262224
         324     79.5004     79.0139   0.0261847
         325      79.077     79.0141   0.0261048
         326     78.8208     79.0135   0.0260315
         327     78.7277     79.0126   0.0259665
         328     78.5532     79.0112   0.0259251
         329     78.6607     79.0101   0.0258682
         330     78.8734     79.0097   0.0257931
         331     79.1063       79.01   0.0257168
         332     79.1258     79.0104   0.0256417
         333     78.8374     79.0098     0.02557
         334      78.424     79.0081   0.0255535
         335     78.0472     79.0052   0.0256377
         336      78.829     79.0047   0.0255668
         337     79.3478     79.0057   0.0255112
         338     79.3815     79.0068   0.0254599
         339     78.7878     79.0062    0.025393
         340     78.6348     79.0051   0.0253418
         341     78.7923     79.0045   0.0252752
         342     78.8112     79.0039   0.0252076
         343     79.4363     79.0052   0.0251656
         344     78.9162     79.0049   0.0250938
         345     78.7389     79.0041   0.0250329
         346     78.7588     79.0034   0.0249706
         347     78.6082     79.0023   0.0249246
         348     78.9201      79.002   0.0248541
         349     79.4672     79.0034   0.0248186
         350     78.6975     79.0025    0.024763
         351     78.7515     79.0018   0.0247028
         352     78.7691     79.0011   0.0246415
         353     79.5507     79.0027   0.0246208
         354     78.6449     79.0017    0.024572
         355     78.6639     79.0007   0.0245212
         356     78.1578     78.9984   0.0245663
         357     79.1514     78.9988   0.0245013
         358     79.0482     78.9989   0.0244332
         359     79.1375     78.9993   0.0243682
         360     78.8325     78.9988   0.0243049
         361      79.936     79.0014   0.0243758
         362     78.6966     79.0006    0.024323
         363     79.3415     79.0015   0.0242742
         364      77.941     78.9986   0.0243817
         365     79.1682     78.9991   0.0243193
         366     78.2172      78.997   0.0243465
         367     79.1635     78.9974   0.0242844
         368     79.4295     78.9986   0.0242468
         369     78.9266     78.9984   0.0241819
         370     79.2868     78.9992   0.0241291
         371     77.8633     78.9961   0.0242575
         372      78.631     78.9951   0.0242121
         373     79.3686     78.9961   0.0241679
         374     79.4316     78.9973   0.0241313
         375     79.5441     78.9987    0.024111
         376      78.865     78.9984   0.0240495
         377     79.3855     78.9994   0.0240076
