#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         246    0.328333    0.329331 0.000199102
         247    0.328855    0.329329 0.000198305
         248    0.329047    0.329328 0.000197509
         249    0.335219    0.329352 0.000198127
         250    0.327026    0.329343 0.000197553
         251    0.328869    0.329341 0.000196775
         252    0.326521    0.329329 0.000196312
         253    0.326782    0.329319 0.000195794
         254    0.333519    0.329336  0.00019572
         255    0.327117    0.329327 0.000195146
         256    0.327249    0.329319 0.000194552
         257    0.332922    0.329333   0.0001943
         258    0.325939     0.32932 0.000193992
         259      0.3317    0.329329  0.00019346
         260    0.333511    0.329345 0.000193384
         261     0.33312     0.32936 0.000193183
         262    0.326016    0.329347 0.000192867
         263    0.334019    0.329365  0.00019295
         264      0.3265    0.329354 0.000192524
         265     0.32989    0.329356 0.000191808
         266    0.333362    0.329371 0.000191677
         267    0.331698     0.32938 0.000191157
         268    0.329498     0.32938 0.000190444
         269    0.331828    0.329389 0.000189954
         270    0.331315    0.329396 0.000189384
         271    0.328392    0.329393 0.000188722
         272    0.330401    0.329396 0.000188064
         273    0.324974     0.32938 0.000188072
         274    0.327321    0.329373 0.000187536
         275    0.326992    0.329364 0.000187053
         276    0.331472    0.329372 0.000186531
         277     0.33368    0.329387 0.000186505
         278    0.328821    0.329385 0.000185846
         279    0.330679     0.32939 0.000185237
         280    0.326885    0.329381 0.000184792
         281     0.33165    0.329389  0.00018431
         282    0.325027    0.329373 0.000184305
         283    0.326288    0.329363 0.000183976
         284    0.329662    0.329364 0.000183331
         285    0.332294    0.329374 0.000182976
         286    0.327703    0.329368 0.000182429
         287     0.32985     0.32937 0.000181801
         288    0.326718     0.32936 0.000181403
         289    0.335717    0.329382 0.000182104
         290    0.331167    0.329389  0.00018158
         291    0.330527    0.329393 0.000180998
         292    0.329604    0.329393  0.00018038
         293     0.32989    0.329395 0.000179772
         294    0.332936    0.329407 0.000179563
         295    0.329228    0.329406 0.000178956
         296    0.328994    0.329405 0.000178357
         297    0.329339    0.329405 0.000177756
         298    0.333018    0.329417 0.000177573
         299    0.333522    0.329431 0.000177509
         300    0.326979    0.329422 0.000177105
         301    0.323236    0.329402 0.000177705
         302    0.332105    0.329411 0.000177342
         303    0.329554    0.329411 0.000176757
         304    0.329774    0.329413  0.00017618
         305    0.326888    0.329404 0.000175797
         306    0.330586    0.329408 0.000175265
         307    0.331534    0.329415  0.00017483
         308    0.327887     0.32941 0.000174333
         309    0.328975    0.329409 0.000173775
         310    0.331232    0.329415 0.000173313
         311    0.328154     0.32941 0.000172804
         312    0.329169     0.32941 0.000172251
         313     0.33133    0.329416  0.00017181
         314    0.328723    0.329414 0.000171277
         315    0.324776    0.329399 0.000171365
         316    0.332077    0.329407 0.000171032
         317    0.333412     0.32942 0.000170959
         318     0.33325    0.329432 0.000170845
         319    0.325443     0.32942 0.000170766
         320    0.324058    0.329403 0.000171053
         321    0.328005    0.329398 0.000170575
         322    0.331791    0.329406 0.000170207
         323    0.324412     0.32939 0.000170381
         324    0.330989    0.329395 0.000169927
         325    0.330184    0.329398 0.000169421
         326    0.327532    0.329392 0.000168998
         327    0.327396    0.329386 0.000168592
         328    0.330686     0.32939 0.000168124
         329    0.330558    0.329393 0.000167651
         330    0.334261    0.329408  0.00016779
         331     0.32869    0.329406 0.000167297
         332    0.328104    0.329402 0.000166839
         333     0.32891    0.329401 0.000166345
         334    0.331006    0.329405 0.000165916
         335    0.326184    0.329396   0.0001657
         336    0.331711    0.329403  0.00016535
         337    0.327965    0.329398 0.000164914
         338    0.327946    0.329394 0.000164482
         339    0.325312    0.329382 0.000164437
         340    0.326499    0.329374 0.000164172
         341    0.327425    0.329368  0.00016379
         342    0.333653     0.32938 0.000163789
         343    0.324073    0.329365 0.000164041
         344    0.330597    0.329369 0.000163603
         345    0.327796    0.329364 0.000163193
         346    0.330586    0.329368 0.000162759
         347    0.334398    0.329382 0.000162934
         348    0.328956    0.329381 0.000162471
         349    0.329618    0.329382 0.000162007
         350    0.330699    0.329385 0.000161588
         351     0.32921    0.329385 0.000161128
         352    0.333243    0.329396 0.000161043
         353    0.326893    0.329389 0.000160743
         354    0.328979    0.329387 0.000160293
         355    0.335858    0.329406 0.000160874
         356    0.331317    0.329411 0.000160512
         357    0.331424    0.329417 0.000160161
         358    0.334645    0.329431 0.000160378
         359    0.326348    0.329423 0.000160161
         360    0.330716    0.329426 0.000159757
         361    0.332022    0.329434 0.000159476
         362    0.332257    0.329441 0.000159226
         363    0.329659    0.329442 0.000158788
         364    0.328526    0.329439 0.000158372
         365    0.325441    0.329428 0.000158316
         366    0.326679    0.329421 0.000158062
         367    0.329755    0.329422 0.000157634
         368    0.332241     0.32943 0.000157392
         369    0.330595    0.329433 0.000156997
         370    0.326915    0.329426  0.00015672
         371    0.325718    0.329416 0.000156616
         372    0.339195    0.329442 0.000158385
         373    0.327459    0.329437  0.00015805
         374    0.329243    0.329436 0.000157628
         375    0.324338    0.329423 0.000157793
         376    0.331476    0.329428 0.000157468
         377    0.329863    0.329429 0.000157054
         378     0.32945    0.329429 0.000156639
         379    0.328099    0.329426 0.000156265
         380     0.32947    0.329426 0.000155854
         381    0.325248    0.329415  0.00015583
         382    0.330016    0.329417  0.00015543
         383     0.33567    0.329433 0.000155879
         384    0.331585    0.329439 0.000155574
         385     0.32992     0.32944 0.000155175
         386     0.32878    0.329438 0.000154782
         387    0.327462    0.329433 0.000154467
         388    0.332793    0.329442 0.000154311
         389    0.332293    0.329449 0.000154088
         390    0.329289    0.329449 0.000153694
         391    0.330747    0.329452 0.000153337
         392     0.33109    0.329456 0.000153002
         393    0.332065    0.329463 0.000152757
         394    0.327895    0.329459 0.000152421
         395    0.333211    0.329468 0.000152331
         396    0.324463    0.329456  0.00015247
         397    0.321043    0.329434 0.000153551
         398    0.329209    0.329434 0.000153166
         399     0.33482    0.329447 0.000153376
         400    0.328971    0.329446 0.000152997
         401    0.325041    0.329435  0.00015301
         402    0.326865    0.329429 0.000152763
         403    0.330516    0.329431 0.000152407
         404     0.33005    0.329433 0.000152038
         405    0.326762    0.329426 0.000151805
         406    0.335785    0.329442 0.000152237
         407    0.329926    0.329443 0.000151868
         408      0.3259    0.329435 0.000151744
         409    0.325008    0.329424 0.000151758
         410    0.332835    0.329432 0.000151616
         411    0.324545     0.32942 0.000151712
         412    0.328814    0.329419 0.000151351
         413     0.33054    0.329421 0.000151009
         414    0.331133    0.329426 0.000150701
         415    0.326808    0.329419  0.00015047
         416    0.332519    0.329427 0.000150292
         417    0.330114    0.329428 0.000149941
         418    0.331118    0.329432 0.000149637
         419    0.324509    0.329421  0.00014974
         420     0.32941    0.329421 0.000149384
         421    0.330118    0.329422 0.000149038
         422    0.329219    0.329422 0.000148686
         423    0.326761    0.329415 0.000148467
         424    0.327394    0.329411 0.000148194
         425    0.329108     0.32941 0.000147847
         426     0.33357     0.32942 0.000147822
         427    0.325173     0.32941  0.00014781
         428    0.329387     0.32941 0.000147464
         429    0.327626    0.329406 0.000147179
         430    0.328459    0.329403 0.000146853
         431    0.327178    0.329398 0.000146603
         432    0.325685     0.32939 0.000146516
         433    0.331032    0.329393 0.000146226
         434    0.337818    0.329413 0.000147172
         435    0.329743    0.329414 0.000146836
         436    0.329471    0.329414 0.000146499
         437     0.33081    0.329417 0.000146199
         438    0.326209     0.32941 0.000146048
         439    0.327643    0.329406 0.000145771
         440    0.333933    0.329416 0.000145803
         441    0.328646    0.329414 0.000145482
         442     0.32432    0.329403 0.000145609
         443     0.32945    0.329403  0.00014528
         444    0.324072    0.329391 0.000145449
         445    0.327396    0.329386 0.000145191
         446    0.321934     0.32937 0.000145823
         447    0.324003    0.329358 0.000145991
         448    0.328297    0.329355 0.000145684
         449    0.324137    0.329344 0.000145822
         450     0.32795     0.32934 0.000145531
         451    0.329159     0.32934 0.000145209
         452    0.321861    0.329323 0.000145827
         453     0.33178    0.329329 0.000145606
         454    0.332533    0.329336 0.000145457
         455     0.32389    0.329324 0.000145629
         456    0.325007    0.329315 0.000145617
         457    0.325428    0.329306 0.000145546
         458     0.33021    0.329308 0.000145242
         459    0.331478    0.329313 0.000145002
         460    0.333132    0.329321 0.000144924
         461     0.32989    0.329322 0.000144615
         462    0.325846    0.329315 0.000144498
         463     0.33349    0.329324 0.000144467
         464    0.333705    0.329333 0.000144464
         465    0.329911    0.329334 0.000144159
         466    0.326731    0.329329 0.000143957
         467    0.329813     0.32933 0.000143653
         468    0.327523    0.329326 0.000143398
         469    0.327879    0.329323 0.000143125
         470    0.330682    0.329326  0.00014285
         471    0.328803    0.329325 0.000142551
         472    0.331904     0.32933 0.000142354
         473     0.32721    0.329326 0.000142123
         474    0.327773    0.329322 0.000141861
         475    0.332158    0.329328 0.000141688
         476    0.327399    0.329324 0.000141448
         477    0.322591     0.32931 0.000141854
         478    0.327642    0.329307   0.0001416
         479    0.330288    0.329309  0.00014132
         480    0.331264    0.329313 0.000141084
         481    0.333471    0.329321 0.000141055
         482    0.329494    0.329322 0.000140763
         483    0.332044    0.329327 0.000140584
         484    0.329948    0.329329   0.0001403
         485    0.330344    0.329331 0.000140026
         486     0.32733    0.329327 0.000139798
