#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         261  -0.0954829 -0.00191778  0.00218515
         262  -0.0471079 -0.00209026   0.0021836
         263  -0.0580069 -0.00230287  0.00218563
         264  -0.0214782 -0.00237551  0.00217855
         265  0.00881134 -0.00233329  0.00217074
         266   -0.019024 -0.00239604  0.00216349
         267   0.0084788 -0.00235531  0.00215577
         268  -0.0288037   -0.002454  0.00214998
         269   0.0008253 -0.00244181  0.00214203
         270  -0.0207683 -0.00250968  0.00213517
         271     0.01832 -0.00243282  0.00212867
         272  -0.0100966   -0.002461  0.00212103
         273   0.0374553 -0.00231478   0.0021183
         274 -0.00471898 -0.00232356  0.00211058
         275 -0.00194638 -0.00232219  0.00210291
         276  -0.0586029  -0.0025261  0.00210515
         277    0.012518 -0.00247179  0.00209825
         278  -0.0101921 -0.00249956  0.00209089
         279  0.00994538 -0.00245496  0.00208387
         280  -0.0312601 -0.00255783  0.00207897
         281   0.0116899 -0.00250713  0.00207219
         282  -0.0509674 -0.00267897  0.00207195
         283   0.0522773 -0.00248478  0.00207371
         284  0.00232844 -0.00246783  0.00206648
         285  -0.0255961 -0.00254898  0.00206082
         286  -0.0221832 -0.00261764  0.00205476
         287   0.0195036 -0.00254056  0.00204904
         288   0.0915397 -0.00221389   0.0020678
         289   0.0264931 -0.00211456  0.00206303
         290   0.0402354 -0.00196852  0.00206108
         291   0.0467175 -0.00180122  0.00206078
         292   0.0335143 -0.00168027  0.00205727
         293  0.00055524 -0.00167265  0.00205026
         294  -0.0363132 -0.00179047  0.00204667
         295  -0.0106253 -0.00182042  0.00203995
         296  0.00204496 -0.00180736   0.0020331
         297   0.0515603 -0.00162767  0.00203418
         298  -0.0287234  -0.0017186  0.00202938
         299  -0.0139223 -0.00175941  0.00202301
         300  -0.0379997 -0.00188021  0.00201987
         301   0.0664159 -0.00165332  0.00202586
         302  -0.0393696  -0.0017782    0.002023
         303  -0.0177722 -0.00183099  0.00201701
         304  -0.0038345 -0.00183758  0.00201039
         305  0.00781206 -0.00180594  0.00200404
         306  -0.0384509  -0.0019257  0.00200107
         307  -0.0401797  -0.0020503  0.00199843
         308  -0.0362129 -0.00216122  0.00199501
         309  -0.0317805 -0.00225707  0.00199086
         310  -0.0190992  -0.0023114  0.00198518
         311  0.00572718 -0.00228556  0.00197896
         312   0.0362358 -0.00216209  0.00197647
         313   -0.056532  -0.0023358  0.00197777
         314  -0.0420924 -0.00246241  0.00197552
         315  -0.0840726 -0.00272149  0.00198617
         316   0.0170697 -0.00265886  0.00198087
         317  -0.0251145  -0.0027297  0.00197589
         318  -0.0134828 -0.00276351  0.00196996
         319  -0.0473139 -0.00290317  0.00196873
         320   0.0134628 -0.00285202  0.00196324
         321 -0.00461822 -0.00285753  0.00195713
         322  -0.0277989 -0.00293498  0.00195259
         323  -0.0100145  -0.0029569  0.00194667
         324   0.0049814  -0.0029324  0.00194081
         325   0.0181621  -0.0028675  0.00193593
         326   0.0001588 -0.00285821  0.00193001
         327 -0.00465612 -0.00286371  0.00192411
         328  -0.0683609  -0.0030634  0.00192858
         329  0.00452944 -0.00304032  0.00192286
         330  0.00510628 -0.00301563  0.00191719
         331   0.0384155 -0.00289046  0.00191548
         332  -0.0146003 -0.00292573  0.00191004
         333   0.0124244 -0.00287964  0.00190486
         334    0.031961 -0.00277532  0.00190201
         335  0.00573968 -0.00274991   0.0018965
         336   0.0115577 -0.00270732  0.00189133
         337  -0.0192984 -0.00275655  0.00188636
         338   0.0088249 -0.00272229  0.00188109
         339  -0.0289833 -0.00279976  0.00187714
         340  -0.0248255 -0.00286454  0.00187273
         341   0.0171028 -0.00280598  0.00186816
         342    0.055767 -0.00263472  0.00187053
         343   0.0195476 -0.00257005  0.00186619
         344  -0.0585095 -0.00273266  0.00186784
         345   0.0297912 -0.00263839   0.0018648
         346   0.0448052 -0.00250127  0.00186445
         347   0.0378396 -0.00238501  0.00186269
         348  -0.0112969 -0.00241062  0.00185752
         349   0.0095447 -0.00237636  0.00185251
         350 -0.00060258  -0.0023713  0.00184723
         351  -0.0276834 -0.00244341  0.00184337
         352  -0.0511117 -0.00258167  0.00184331
         353  -0.0348733 -0.00267315  0.00184036
         354  -0.0549511 -0.00282083  0.00184107
         355   0.0163014 -0.00276696  0.00183668
         356  -0.0269612 -0.00283492  0.00183277
         357   0.0105314 -0.00279748  0.00182802
         358   0.0458885 -0.00266149  0.00182797
         359 -0.00547588 -0.00266933  0.00182289
