#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         289   -0.973204   -0.974104 2.82668e-05
         290   -0.974106   -0.974104 2.81693e-05
         291   -0.973584   -0.974102  2.8129e-05
         292   -0.974475   -0.974103 2.80617e-05
         293   -0.973527   -0.974101 2.80348e-05
         294   -0.974122   -0.974101 2.79396e-05
         295   -0.973471   -0.974099 2.79264e-05
         296   -0.974104   -0.974099  2.7832e-05
         297   -0.974098   -0.974099 2.77383e-05
         298   -0.973288   -0.974096 2.77785e-05
         299   -0.974365   -0.974097 2.77001e-05
         300   -0.973731   -0.974096 2.76346e-05
         301   -0.973948   -0.974096 2.75472e-05
         302   -0.973779   -0.974095 2.74759e-05
         303   -0.974737   -0.974097  2.7467e-05
         304   -0.974207   -0.974097 2.73791e-05
         305   -0.973744   -0.974096 2.73138e-05
         306   -0.973595   -0.974094 2.72736e-05
         307   -0.974421   -0.974095 2.72055e-05
         308   -0.973677   -0.974094  2.7151e-05
         309   -0.974046   -0.974094 2.70636e-05
         310   -0.973949   -0.974093 2.69803e-05
         311   -0.974559   -0.974095 2.69351e-05
         312   -0.973843   -0.974094 2.68609e-05
         313   -0.974322   -0.974095  2.6785e-05
         314   -0.974359   -0.974096 2.67129e-05
         315    -0.97401   -0.974095 2.66295e-05
         316   -0.974832   -0.974098 2.66469e-05
         317   -0.974144   -0.974098 2.65633e-05
         318   -0.975131   -0.974101 2.66778e-05
         319    -0.97412   -0.974101 2.65942e-05
         320   -0.973927   -0.974101 2.65167e-05
         321    -0.97444   -0.974102 2.64551e-05
         322   -0.974177   -0.974102  2.6374e-05
         323   -0.973782   -0.974101  2.6311e-05
         324   -0.974606   -0.974102 2.62759e-05
         325   -0.974209   -0.974103 2.61971e-05
         326   -0.973933   -0.974102  2.6122e-05
         327     -0.9738   -0.974101 2.60584e-05
         328   -0.973699     -0.9741 2.60078e-05
         329   -0.973761   -0.974099 2.59492e-05
         330   -0.973885   -0.974098 2.58787e-05
         331   -0.974264   -0.974099 2.58053e-05
         332   -0.974034   -0.974099 2.57284e-05
         333   -0.973988   -0.974098 2.56532e-05
         334   -0.973466   -0.974097 2.56462e-05
         335   -0.973293   -0.974094 2.56817e-05
         336   -0.973885   -0.974093 2.56128e-05
         337   -0.974394   -0.974094 2.55523e-05
         338   -0.974544   -0.974096 2.55113e-05
         339   -0.973864   -0.974095 2.54452e-05
         340    -0.97366   -0.974094 2.54025e-05
         341   -0.973911   -0.974093 2.53337e-05
         342   -0.973854   -0.974093 2.52692e-05
         343   -0.974567   -0.974094 2.52334e-05
         344    -0.97416   -0.974094 2.51608e-05
         345   -0.973869   -0.974093 2.50963e-05
         346   -0.973971   -0.974093 2.50263e-05
         347   -0.973748   -0.974092 2.49738e-05
         348   -0.973953   -0.974092 2.49053e-05
         349   -0.974626   -0.974093  2.4881e-05
         350   -0.973782   -0.974092 2.48258e-05
         351   -0.973925   -0.974092 2.47596e-05
         352   -0.973667   -0.974091 2.47186e-05
         353   -0.974604   -0.974092 2.46913e-05
         354   -0.973791   -0.974091 2.46363e-05
         355   -0.973727    -0.97409 2.45882e-05
         356   -0.973239   -0.974088 2.46351e-05
         357   -0.974206   -0.974088 2.45683e-05
         358   -0.974181   -0.974088  2.4501e-05
         359     -0.9741   -0.974088 2.44328e-05
         360   -0.973779   -0.974088   2.438e-05
         361   -0.975048    -0.97409 2.44573e-05
         362   -0.973666   -0.974089 2.44179e-05
         363   -0.974466    -0.97409 2.43726e-05
         364   -0.973153   -0.974088 2.44413e-05
         365   -0.974269   -0.974088 2.43794e-05
         366   -0.973373   -0.974086  2.4391e-05
         367   -0.974368   -0.974087 2.43366e-05
         368   -0.974478   -0.974088 2.42937e-05
         369   -0.974002   -0.974088  2.4229e-05
         370   -0.974386   -0.974088 2.41769e-05
         371   -0.972896   -0.974085 2.43245e-05
         372   -0.973636   -0.974084 2.42891e-05
         373   -0.974562   -0.974085 2.42578e-05
         374   -0.974636   -0.974087 2.42376e-05
         375   -0.974751   -0.974089 2.42376e-05
         376   -0.973913   -0.974088 2.41777e-05
         377   -0.974395   -0.974089 2.41272e-05
         378   -0.973421   -0.974087  2.4128e-05
         379   -0.974268   -0.974088  2.4069e-05
         380   -0.974309   -0.974088 2.40127e-05
         381   -0.974392   -0.974089 2.39629e-05
         382   -0.974535    -0.97409 2.39287e-05
         383   -0.974293   -0.974091 2.38721e-05
         384   -0.974693   -0.974092 2.38614e-05
         385   -0.974551   -0.974093 2.38291e-05
         386   -0.974708   -0.974095 2.38205e-05
         387   -0.973258   -0.974093  2.3857e-05
         388   -0.974467   -0.974094  2.3815e-05
         389   -0.974545   -0.974095  2.3782e-05
         390   -0.973934   -0.974095 2.37247e-05
         391   -0.973552   -0.974093 2.37046e-05
         392   -0.974517   -0.974094 2.36688e-05
         393   -0.974291   -0.974095 2.36138e-05
         394   -0.973937   -0.974094 2.35573e-05
         395   -0.974102   -0.974094 2.34977e-05
         396   -0.974076   -0.974094 2.34384e-05
         397   -0.973957   -0.974094 2.33819e-05
         398   -0.974824   -0.974096  2.3395e-05
         399   -0.974147   -0.974096 2.33367e-05
         400    -0.97345   -0.974094 2.33343e-05
         401   -0.973882   -0.974094 2.32821e-05
         402   -0.974241   -0.974094  2.3227e-05
         403   -0.974398   -0.974095 2.31816e-05
         404   -0.973653   -0.974094   2.315e-05
         405   -0.974686   -0.974095 2.31391e-05
         406    -0.97383   -0.974095 2.30913e-05
         407   -0.973893   -0.974094 2.30399e-05
         408   -0.975116   -0.974097 2.31191e-05
         409   -0.973513   -0.974095 2.31066e-05
         410   -0.974285   -0.974096 2.30549e-05
         411   -0.973939   -0.974095 2.30019e-05
         412   -0.974796   -0.974097 2.30089e-05
         413   -0.973745   -0.974096  2.2969e-05
         414   -0.973678   -0.974095 2.29357e-05
         415   -0.974847   -0.974097 2.29519e-05
         416   -0.973944   -0.974097 2.28997e-05
         417   -0.973604   -0.974095 2.28752e-05
         418   -0.973928   -0.974095  2.2824e-05
         419    -0.97451   -0.974096  2.2791e-05
         420   -0.974319   -0.974097 2.27429e-05
         421   -0.974121   -0.974097  2.2689e-05
         422   -0.974639   -0.974098 2.26716e-05
         423   -0.974548   -0.974099  2.2643e-05
         424   -0.974385     -0.9741 2.25996e-05
         425   -0.973218   -0.974098 2.26414e-05
         426   -0.973872   -0.974097 2.25944e-05
         427   -0.974018   -0.974097 2.25423e-05
         428   -0.973696   -0.974096  2.2509e-05
         429   -0.973487   -0.974095 2.25012e-05
         430   -0.974702   -0.974096 2.24932e-05
         431   -0.974205   -0.974096 2.24424e-05
         432   -0.974471   -0.974097 2.24073e-05
         433   -0.974543   -0.974098 2.23792e-05
         434    -0.97359   -0.974097 2.23582e-05
         435   -0.973282   -0.974095 2.23851e-05
         436   -0.973654   -0.974094 2.23566e-05
         437   -0.974779   -0.974096 2.23604e-05
         438   -0.974316   -0.974096  2.2315e-05
         439   -0.974556   -0.974097 2.22888e-05
         440   -0.974127   -0.974097 2.22382e-05
         441   -0.973196   -0.974095 2.22816e-05
         442   -0.973322   -0.974093 2.22997e-05
         443   -0.974294   -0.974094 2.22539e-05
         444    -0.97468   -0.974095  2.2243e-05
         445   -0.974261   -0.974096 2.21961e-05
         446   -0.975152   -0.974098 2.22723e-05
         447   -0.974792   -0.974099 2.22764e-05
         448   -0.974628   -0.974101  2.2258e-05
         449   -0.973959     -0.9741 2.22106e-05
         450   -0.973658   -0.974099  2.2183e-05
         451   -0.974494     -0.9741  2.2151e-05
         452   -0.974519   -0.974101 2.21214e-05
         453   -0.973861   -0.974101 2.20789e-05
         454   -0.973959     -0.9741 2.20325e-05
         455   -0.973261   -0.974098 2.20612e-05
         456   -0.975126   -0.974101 2.21276e-05
         457   -0.973999   -0.974101 2.20803e-05
         458   -0.974313   -0.974101 2.20369e-05
         459   -0.973994   -0.974101 2.19902e-05
         460   -0.973533     -0.9741  2.1977e-05
         461   -0.973976   -0.974099 2.19309e-05
         462   -0.974357     -0.9741 2.18906e-05
         463   -0.974192     -0.9741 2.18442e-05
         464   -0.974237     -0.9741 2.17991e-05
         465   -0.973734     -0.9741 2.17665e-05
         466    -0.97424     -0.9741 2.17219e-05
         467   -0.974203     -0.9741 2.16765e-05
         468   -0.973249   -0.974098 2.17062e-05
         469   -0.974666   -0.974099 2.16937e-05
         470   -0.973887   -0.974099 2.16523e-05
         471   -0.974405     -0.9741  2.1616e-05
         472   -0.973409   -0.974098 2.16197e-05
         473   -0.974033   -0.974098 2.15744e-05
         474    -0.97288   -0.974095 2.16814e-05
         475   -0.973931   -0.974095 2.16386e-05
         476   -0.975074   -0.974097 2.16907e-05
         477   -0.974417   -0.974098 2.16556e-05
         478   -0.974117   -0.974098 2.16103e-05
         479   -0.973601   -0.974097 2.15901e-05
         480   -0.973519   -0.974096 2.15786e-05
         481   -0.974481   -0.974096 2.15486e-05
         482   -0.973378   -0.974095 2.15553e-05
         483   -0.974278   -0.974095  2.1514e-05
         484   -0.974459   -0.974096 2.14827e-05
         485   -0.974457   -0.974097 2.14513e-05
         486   -0.974176   -0.974097 2.14078e-05
         487   -0.973672   -0.974096 2.13816e-05
         488   -0.973777   -0.974095 2.13477e-05
         489   -0.974416   -0.974096 2.13141e-05
         490   -0.973565   -0.974095 2.12981e-05
         491     -0.9748   -0.974096 2.13032e-05
         492   -0.974201   -0.974097 2.12609e-05
         493   -0.974113   -0.974097 2.12178e-05
         494   -0.974139   -0.974097 2.11751e-05
         495   -0.974348   -0.974097 2.11384e-05
         496   -0.973828   -0.974097 2.11027e-05
         497   -0.973405   -0.974095 2.11061e-05
         498   -0.974172   -0.974096 2.10643e-05
         499   -0.973411   -0.974094 2.10667e-05
         500   -0.974243   -0.974094 2.10267e-05
