#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
         230    0.894452     0.88745 0.000438528
         231    0.877019    0.887404 0.000438948
         232    0.881869    0.887381 0.000437704
         233     0.88332    0.887363 0.000436172
         234    0.885024    0.887353 0.000434423
         235    0.881471    0.887328 0.000433295
         236     0.88246    0.887307  0.00043195
         237    0.891927    0.887327 0.000430567
         238    0.877655    0.887286 0.000430671
         239    0.893558    0.887313 0.000429668
         240    0.876747    0.887269 0.000430127
         241    0.888581    0.887274 0.000428377
         242    0.886729    0.887272 0.000426613
         243    0.883851    0.887258 0.000425089
         244    0.881825    0.887235  0.00042393
         245    0.876363    0.887191 0.000424516
         246    0.895179    0.887224  0.00042403
         247    0.892299    0.887244 0.000422811
         248    0.871871    0.887182 0.000425625
         249    0.874913    0.887133 0.000426759
         250    0.880186    0.887105 0.000425955
         251    0.898487     0.88715 0.000426665
         252    0.883354    0.887135 0.000425238
         253     0.87676    0.887094  0.00042553
         254    0.895467    0.887127 0.000425129
         255    0.886751    0.887126 0.000423465
         256    0.891026    0.887141 0.000422085
         257    0.898471    0.887185 0.000422738
         258     0.90195    0.887242 0.000424956
         259    0.883131    0.887226 0.000423611
         260    0.886771    0.887225 0.000421986
         261    0.895008    0.887255 0.000421421
         262    0.895274    0.887285 0.000420923
         263    0.878739    0.887253 0.000420575
         264    0.887736    0.887254 0.000418986
         265    0.891009    0.887269 0.000417644
         266    0.883456    0.887254  0.00041632
         267    0.890084    0.887265 0.000414896
         268    0.890066    0.887275 0.000413479
         269     0.89043    0.887287 0.000412108
         270    0.881818    0.887267 0.000411079
         271    0.881446    0.887245 0.000410123
         272    0.880904    0.887222 0.000409278
         273    0.884901    0.887214 0.000407867
         274    0.895897    0.887245 0.000407608
         275    0.895968    0.887277 0.000407358
         276    0.881847    0.887257 0.000406356
         277    0.895197    0.887286 0.000405899
         278    0.895692    0.887316 0.000405564
         279    0.883037    0.887301   0.0004044
         280    0.888922    0.887307 0.000402997
         281    0.883919    0.887295 0.000401743
         282    0.884797    0.887286 0.000400416
         283    0.881762    0.887266 0.000399477
         284    0.893984     0.88729  0.00039877
         285    0.887625    0.887291 0.000397372
         286    0.889723      0.8873 0.000396074
         287    0.888359    0.887303 0.000394711
         288    0.880226    0.887279 0.000394105
         289    0.884428    0.887269 0.000392864
         290    0.883944    0.887257 0.000391677
         291    0.890946     0.88727 0.000390536
         292    0.893579    0.887292 0.000389796
         293    0.891022    0.887304 0.000388673
         294    0.873517    0.887257  0.00039017
         295    0.873312     0.88721 0.000391701
         296     0.89321     0.88723 0.000390901
         297    0.884706    0.887222 0.000389678
         298    0.883136    0.887208 0.000388611
         299    0.882428    0.887192  0.00038764
         300    0.888986    0.887198 0.000386394
         301    0.886068    0.887194 0.000385129
         302    0.887854    0.887197  0.00038386
         303     0.89302    0.887216 0.000383074
         304    0.889077    0.887222 0.000381863
         305    0.893008    0.887241 0.000381081
         306    0.885989    0.887237 0.000379858
         307    0.879936    0.887213 0.000379364
         308    0.893646    0.887234 0.000378707
         309    0.879495    0.887209 0.000378309
         310    0.897638    0.887243 0.000378581
         311    0.887712    0.887244 0.000377367
         312    0.888087    0.887247 0.000376167
         313    0.891812    0.887261 0.000375248
         314    0.882426    0.887246 0.000374369
         315    0.888051    0.887249 0.000373189
         316    0.879056    0.887223 0.000372907
         317    0.897278    0.887254 0.000373078
         318     0.88469    0.887246 0.000371992
         319    0.884381    0.887237 0.000370934
         320    0.894296    0.887259  0.00037043
         321    0.880107    0.887237 0.000369946
         322     0.89367    0.887257 0.000369336
         323    0.883812    0.887246 0.000368346
         324    0.893682    0.887266 0.000367745
         325    0.874954    0.887228 0.000368559
         326    0.894658    0.887251 0.000368133
         327    0.881264    0.887233 0.000367462
         328    0.888177    0.887236 0.000366353
         329    0.887097    0.887235  0.00036524
         330    0.890462    0.887245 0.000364264
         331    0.883449    0.887234 0.000363344
         332    0.885345    0.887228 0.000362294
         333    0.889713    0.887235 0.000361283
         334     0.88467    0.887228 0.000360283
         335    0.892389    0.887243 0.000359536
