#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         232    0.323126    0.329662 0.000275259
         233    0.325681    0.329645 0.000274608
         234    0.330825     0.32965 0.000273481
         235    0.324232    0.329627 0.000273287
         236    0.327605    0.329618 0.000272263
         237    0.328498    0.329614 0.000271155
         238    0.328028    0.329607 0.000270098
         239    0.323502    0.329582 0.000270173
         240    0.326174    0.329567  0.00026942
         241    0.332699     0.32958 0.000268616
         242    0.333602    0.329597 0.000268019
         243    0.331963    0.329607 0.000267093
         244    0.331439    0.329614 0.000266104
         245    0.324362    0.329593  0.00026588
         246    0.329151    0.329591 0.000264805
         247    0.331151    0.329597 0.000263809
         248    0.332794     0.32961  0.00026306
         249    0.331345    0.329617 0.000262095
         250    0.323637    0.329593 0.000262136
         251     0.32989    0.329594 0.000261095
         252    0.324989    0.329576 0.000260698
         253    0.337967    0.329609 0.000261768
         254    0.332912    0.329622 0.000261061
         255    0.333663    0.329638 0.000260517
         256    0.338645    0.329673 0.000261864
         257    0.329549    0.329673 0.000260846
         258    0.329013     0.32967 0.000259847
         259    0.336742    0.329698 0.000260275
         260    0.333327    0.329712 0.000259648
         261    0.332002     0.32972 0.000258801
         262    0.327873    0.329713 0.000257909
         263    0.330759    0.329717 0.000256959
         264    0.327054    0.329707 0.000256184
         265     0.33676    0.329734 0.000256596
         266    0.329359    0.329732 0.000255635
         267     0.32797    0.329726 0.000254763
         268    0.328046     0.32972  0.00025389
         269     0.32676    0.329709 0.000253184
         270    0.330494    0.329711 0.000252263
         271    0.329749    0.329712 0.000251332
         272    0.330209    0.329713 0.000250415
         273    0.335461    0.329734 0.000250381
         274    0.328762    0.329731 0.000249492
         275    0.331529    0.329737 0.000248671
         276    0.331015    0.329742 0.000247813
         277    0.328337    0.329737  0.00024697
         278     0.32845    0.329732 0.000246125
         279    0.330595    0.329735 0.000245262
         280    0.332299    0.329745 0.000244557
         281     0.33114     0.32975 0.000243737
         282    0.328637    0.329746 0.000242905
         283    0.329329    0.329744 0.000242051
         284    0.332708    0.329755 0.000241424
         285    0.330973    0.329759 0.000240614
         286    0.323029    0.329735 0.000240921
         287    0.334456    0.329752 0.000240642
         288    0.334641    0.329769 0.000240405
         289    0.336787    0.329793 0.000240796
         290    0.331454    0.329799 0.000240034
